"","Camptothecin","Vinblastine","Cisplatin","Cytarabine","Docetaxel","Methotrexate","Tretinoin","Gefitinib","Navitoclax","Vorinostat","Nilotinib","Refametinib","Temsirolimus","Olaparib","Veliparib","Bosutinib","Lenalidomide","Axitinib","AZD7762","GW441756","Lestaurtinib","SB216763","Tanespimycin","Motesanib","KU-55933","Elesclomol","Afatinib","Vismodegib","Staurosporine","PLX-4720","BX795","NU7441","SL0101","Doramapimod","JNK Inhibitor VIII","Wee1 Inhibitor","Nutlin-3a (-)","Mirin","PD173074","ZM447439","Alisertib","RO-3306","MK-2206","Palbociclib","Dactolisib","Pictilisib","AZD8055","PD0325901","SB590885","Selumetinib","CCT007093","Obatoclax Mesylate","EHT-1864","Avagacestat","5-Fluorouracil","Dasatinib","Paclitaxel","Crizotinib","Rapamycin","Sorafenib","BI-2536","Irinotecan","Oxaliplatin","BMS-536924","GSK1904529A","Tozasertib","PF-4708671","PRIMA-1MET","Serdemetan","TW 37","Erlotinib","CCT-018159","Rucaparib","Niraparib","MK-1775","Dinaciclib","Gemcitabine","Bortezomib","GSK269962A","SB505124","Tamoxifen","Fulvestrant","EPZ004777","YK-4-279","Piperlongumine","Daporinad","BMS-345541","AZ960","Talazoparib","XAV939","Trametinib","Dabrafenib","Temozolomide","Bleomycin (50 uM)","AZD5438","IAP_5620","AZD2014","AZD1208","AZD1332","SN-38","Bicalutamide","Ruxolitinib","Linsitinib","Epirubicin","Cyclophosphamide","Pevonedistat","Sapitinib","Uprosertib","LCL161","Lapatinib","Luminespib","Alpelisib","Taselisib","EPZ5676","SCH772984","IWP-2","Leflunomide","GSK2801","Bromosporine","SGC-CBP30","GSK-LSD1","BDOCA000347a","BDF00022089a","BDILV000379a","Entinostat","OSI-027","LGK974","VE-822","WZ4003","CZC24832","AZD5582","GSK2606414","PFI3","PCI-34051","Wnt-C59","I-BET-762","RVX-208","OTX015","GSK343","ML323","Entospletinib","PRT062607","Ribociclib","AGI-6780","Picolinici-acid","AZD5153","CDK9_5576","CDK9_5038","Eg5_9814","ERK_2440","ERK_6604","IRAK4_4710","JAK1_8709","AZD5991","PAK_5339","TAF1_5496","ULK1_4989","VSP34_8731","IGF1R_3801","JAK_8517","GSK2256098C","GSK2276186C","GSK2110183B","GSK626616AC","GSK3337463A","GSK2830371A","LMB_AB1","LMB_AB2","LMB_AB3","AZD4547","Ibrutinib","Zoledronate","Acetalax","Topotecan","Teniposide","Mitoxantrone","Dactinomycin","Bleomycin","Fludarabine","Nelarabine","Dacarbazine","Romidepsin","123829","765771","123138","Podophyllotoxin bromide","50869","Dihydrorotenone","720427","667880","Gallibiscoquinazole","L-Oxonoreleagnine","729189","741909","743380","Elephantin","150412","Sinularin","615590","630600","LMP744","776928","Schweinfurthin A","BEN","Sabutoclax","LY2109761","OF-1","MN-64","KRAS (G12C) Inhibitor-12","MG-132","BDP-00009066","Buparlisib","Ulixertinib","Venetoclax","ABT737","Afuresertib","AGI-5198","AZD3759","AZD5363","AZD6738","AZD8186","Osimertinib","Cediranib","Ipatasertib","GDC0810","GNE-317","GSK2578215A","I-BRD9","Telomerase Inhibitor IX","MIRA-1","NVP-ADW742","P22077","Savolitinib","UMI-77","WIKI4","Sepantronium bromide","MIM1","WEHI-539","BPD-00008900","N25720-51-A1","N27922-53-1","N30652-18-1","N29087-69-1","HKMTI-1-005","ICL-SIRT078","UNC0638","AGK2","Foretinib","BIBR-1532","Pyridostatin","AMG-319","MK-8776","Vinorelbine","Mycophenolic acid","Remodelin","VX-11e","LJI308","AZ6102","GSK591","VE821","VTP-A","VTP-B","PBD-288","POMHEX","CT7033-2","GSK-LSD1-2HCl","5-azacytidine","A-366","CPI-637","UNC0379","AZD6482","AT13148","BMS-754807","JQ1","PFI-1","IOX2","CHIR-99021","SGC0946","GSK2830371","THR-101","THR-102","THR-103","ascorbate (vitamin C)","glutathione","alpha-lipoic acid","N-acetyl cysteine"
"M_1",0.0739104101129056,0.0172477860014117,22.188378774495,4.55036352943435,0.00844844182646192,0.325258107374743,208.655368255132,29.4559564146223,6.88475756076133,4.04664787369439,23.9313688955425,13.0073247810738,3.29963050062247,70.7546191917928,184.544421572458,14.5614769522473,206.320399294434,22.0373248003293,1.08954871742959,28.9464052082921,0.822167686722142,170.950002728284,0.831072469348055,262.048523936995,156.325392875694,0.251940162899553,4.65327704832901,148.585321047129,0.0540295924835893,90.4726450344355,19.7999336868081,20.9962743482275,152.591645717286,165.004219892361,175.243636712715,6.13956463007294,160.525803267771,120.852233527519,44.5688064636573,11.8421927307071,7.94988910244141,31.3599702393233,16.4760405077519,31.533186090038,0.179923344165647,3.47642643064211,0.80530161317324,4.94785156277531,69.7485058913724,42.6800532924264,177.438212025395,1.36041892921152,36.805123532217,141.224126867385,69.4266313118575,5.6532663638989,0.0362693528179187,14.1065665201774,0.111010459682208,13.0489771300068,0.134252715073461,9.95411505563853,43.5229630753055,10.0826020750534,69.0707538611553,11.8525877326571,36.1318654934982,92.8061848079107,36.9595745471021,2.54048299181163,13.8499197413227,46.434238003874,58.8011394057254,67.6659623319449,1.23227624684065,0.0564804851129159,0.294515752916661,0.00642634704624143,15.2110583529737,24.1319197673029,35.4324658888824,19.7389384110303,182.117186927328,7.77448058467087,11.3582027947811,0.00941880761721127,24.3466896181617,7.2607775978767,19.416506518857,86.4417353813343,1.7820087935586,102.9734977694,642.185984222255,24.8643297088293,7.0196410039509,151.900815339309,6.79661559733191,204.072311960865,57.7449709039692,0.0218868044461709,138.351109435568,124.995982771472,57.1124973867235,0.304568728136594,187.502394426582,0.893919860319618,50.345185303015,24.277327326973,138.158602105591,26.5538492488086,0.0760022954517967,38.5284402489298,7.91796479217365,276.614130644156,13.5503694969544,18.3023359186107,146.838179572048,151.981068077142,11.1538170815556,67.666705320472,16.3737629857391,14.4481576561326,80.7949535403523,84.3064391583554,9.69471431645512,13.3331354763844,63.3722171865572,30.6702348394102,51.3601503467487,165.78547513959,6.7149064202834,40.9954961165652,204.33178937907,90.2198203778364,74.0737383183413,23.038720243876,128.661006651638,10.550679967651,18.547514804212,92.9290125658733,47.5235110894643,27.8682183025903,32.3563616647069,54.4420818331873,181.574654146744,4.18444793861947,0.625831223391148,0.084956388340861,0.0411616265158254,16.6961007100436,33.154107497408,143.851501467107,70.0940512809015,68.1378863907827,10.5847419778851,46.8444184847,7.25716110208919,10.0080007295042,6.34612986823246,24.0939166496717,72.5738752692943,158.629767396437,33.6387432942926,2.39422679530882,198.110351715594,213.032339483779,243.820997242638,250.686012757416,168.730382919063,12.3597960461643,91.1179121411153,47.527649663486,179.17213559631,0.856483141391191,1.24414315540244,1.67765899309396,0.0829368365711106,16.2852528616018,175.904951232086,506.93929197869,259.412567298509,0.00423847196611999,12.0638057065118,31.4268627888928,17.0532683468036,0.456918271954475,12.0956057373473,2.11236690343892,44.4988532562047,3.65478005745144,13.6088272645819,44.0997164811437,44.9263945066985,8.40446263297546,7.92579143294183,30.642589607612,23.336159687874,41.7102134334677,45.3677864850809,8.03788948668941,0.43186771760942,27.7946233173649,4.04808924040982,71.2746391658241,0.698499315863964,210.41984578117,63.0576272202201,133.568309064358,70.9097657722331,0.225461651707889,8.74660461597737,2.77191354652206,14.6866749002914,8.22368488108006,9.01582805800161,11.5615225833525,106.458043562267,14.0385257732883,20.8073026621713,6.61481112575593,36.432960220166,6.03103452802636,7.94553044222779,35.4640064642925,121.446061173869,1.63480174800185,130.402107510059,71.694875607468,1.46714293555208,220.818075012372,17.4056451380502,98.3952587190399,15.6710704429833,14.1614429332608,43.7158174106415,0.00994441898054772,42.1457080942707,41.8113866146351,90.4400223117063,22.1184910674801,171.832085417431,189.999927769839,207.135508657086,28.7782094676395,60.5785015621529,57.5984638527819,27.1738260877539,3.37562338897926,167.932612536097,27.4097172034443,155.172338167642,26.2385295725196,0.0334628093178447,5.0034800961482,102.43851597811,14.8052208454077,161.233750350941,11.2190699748752,76.5022718293979,53.5931642410402,11.2029133058358,17.2461661136906,0.685866967603145,2.66243975449902,2.58415443219035,12.3563620566997,16.7421177079552,118.689034996836,54.3930755957631,22.2696528563617,36.1287624019347,26.8671789896172,12.2297220119487,6.09672812287284,53.6664273483047,13.3805213853214,165.831737039153,7.120053020387,238.804025084413,172.570779060066,132.094266422822,76.727880339705,31100.8770071963,9519.42369353294,1942.45645950498,21278.7825808867
"M_2",0.0508482125352579,0.0187386330528869,18.1568822388104,5.67079842299334,0.00841307883575596,0.674318449196237,202.172266784997,30.2384093866077,8.32497089814635,4.68889583027964,25.7066946199482,7.33821873511487,2.70768743430216,67.3973313112646,208.26041397018,17.3970855914285,267.882234571275,21.2598182633803,0.738891422145992,35.6893164061181,0.546378551199392,180.718079499135,0.783382478647464,321.403792986428,168.896846312773,0.326769322920156,6.30561205348537,138.310998368417,0.0588490752671136,81.6201294839154,17.9525791357164,30.8420900727618,133.744684535045,224.789886980778,203.913922325118,7.41073086184567,151.521075575866,90.5761191937382,60.0213711999991,9.64044520136517,6.36191572109205,26.0422509807463,19.2502338723735,19.7723328708616,0.140668102544164,3.79474384090648,0.653640977981044,2.43873529806076,80.5381230251557,30.6604630992385,176.526520709847,1.51550978327694,30.3431600898699,148.225968226569,47.0329672121404,6.07547861810608,0.0358232734575665,14.1015027856075,0.0771996188461019,12.8590956400233,0.225903459690843,5.13543799549886,34.1555009434959,9.77002774574559,60.3906677680216,10.2099784981095,25.8232550938915,125.703238096852,28.3393883564388,3.3029707285314,14.0225669505417,34.8103317568871,61.8558990198008,65.6567610804118,1.33612685908578,0.0577392766328911,0.159233795175224,0.00900602544680075,10.2506901717705,26.2873330868628,34.9289950715523,20.4237052011034,178.091655635311,8.47065838797814,9.94344713101002,0.0217390861058135,27.3091071800811,6.37920283163431,17.6762934876982,72.5259149271724,1.09066269281994,63.0019745771672,618.684083393475,22.7038551562159,7.57696134509997,121.195401811313,5.90370495876038,273.150590726186,50.9088657291337,0.0134363773165856,129.772187896984,147.153632347241,52.7306409615261,0.331872263556575,198.238212766483,0.88351901998349,56.050505726641,23.3121188737912,145.366884193597,24.8447062359769,0.0750015759712239,50.4939092296427,12.482667076179,270.435604394053,8.00963993846439,18.0657250969311,119.589949551998,175.193526412638,13.1872748539416,62.4514325971702,16.8847790536077,15.0904719234814,87.119892520144,86.8742776894575,10.8642736507511,14.6241226788578,55.3589372163219,27.9632104746274,47.5181862919036,169.604891055979,6.91387810556721,39.5755926230407,213.598463319554,97.1698636104421,60.6887689453778,30.1655488258266,142.543725293036,13.5040064681597,20.1168269428145,74.6286586204582,42.8151889086608,22.5410025590968,32.3508795381414,58.0105056223105,188.566161108007,5.21166971319239,0.750999820794473,0.111179862411204,0.0235558134270853,12.3610155370636,22.8746997503273,128.306973935451,54.8989137759929,114.518086164848,11.5279516344618,44.0992258208157,7.40670070526575,8.33842199812023,4.63720107411905,21.2730752395813,82.0258730903107,153.834182564973,38.2691306636028,2.35073448099108,211.340082775274,194.862351086964,241.268150234081,237.125037191185,186.182612919615,14.3436654681874,99.6371709340545,56.2177616232338,258.761803776221,0.536601743667395,0.876160465515216,1.12466683076278,0.0660295721413325,13.2204761133285,200.300430408809,637.797424074444,265.919397995478,0.00525832607182728,13.2069636331493,26.841978357386,20.8981480922965,0.441254462754414,10.0926316048141,2.00125256149584,49.1187886342131,3.97215363495207,14.8081341986487,40.1833414079537,53.5026354911671,10.2602459159256,9.18121948138016,30.096815569343,27.7550560939608,45.6993428359467,47.4007235716523,10.2331584099125,0.354986084829039,28.0831394158424,3.87185021622649,20.8497800550856,0.625204341585427,254.161950693922,59.8372428180961,132.469669621274,75.7903073222964,0.279962756569272,10.5136930750292,2.75222047296376,14.0690435065855,7.98572164439296,15.4314802030915,14.8718912214428,106.712539184974,15.6561164357111,21.2282051445326,7.36432062372799,46.91127066501,8.40544355390497,10.9793197530758,40.6527679934649,133.190851330786,1.40726156748446,119.850495071381,99.0098785760859,1.73497258920125,227.476919583538,25.222410474688,116.586051218488,19.2497805285862,22.6532573464106,49.7667545615093,0.0143258344052804,53.2683814350621,60.167877224116,112.018935737062,41.4056293309455,208.185435949591,253.025886104803,231.625865031957,35.1193179590618,67.5786540408181,60.0477605891766,24.6553293846181,2.38431846443596,175.252173302077,22.5915771263704,145.665139138717,23.0919821121032,0.0273082172604993,5.22655119000653,91.3181666943112,10.7960899305266,133.947503836122,11.9555014446206,73.1304244310489,61.6157675933168,13.5205732129687,27.5612155707809,0.690527424204167,4.90113829045027,3.37531204729805,15.1179319593917,18.6491817697297,113.83603242091,76.5724295948406,29.9246790644842,35.1679006315621,22.9812199838045,9.04906225013903,10.4213953459339,58.73652372738,13.9573721195362,198.205421922243,8.19943303169828,319.320782731509,245.344926972968,147.5644189872,88.4941329703487,38782.9129091735,10766.2023538467,2458.35639058575,20349.8735883343
"M_3",0.0919240946869812,0.0138550030742204,20.2963509632139,3.72757312849889,0.00880726786313281,0.413621421560016,210.23968217146,27.1965420138072,4.02654794363181,3.25746174597559,22.1502200706345,15.0915263140023,4.05935403691408,64.7928384084093,148.889797901725,15.6663321421963,152.40834893635,14.8700718530167,1.05702996497562,24.9425357570581,0.890331038901857,155.711212349441,0.706486449953886,217.124615855457,125.399762681777,0.224394575937821,4.91968130740253,112.528332549135,0.050011139628602,80.4059897802102,18.805528283707,18.6085937128917,155.231546929208,140.696666590275,154.99081116188,4.63596543929127,136.082750525232,120.335684756717,38.2312423254335,9.87522521670755,6.98928062298908,28.5160479574657,16.0483106011127,38.4444400407416,0.206563031696775,3.37360474173891,1.03299741192491,5.63893399766302,65.8648238488991,42.3702022190918,164.089738484573,1.5682294763061,34.6002307858595,113.758335655108,81.3553346639527,6.57547856023918,0.0337751835022683,10.5628839317373,0.149410262889052,12.5889536163215,0.158019333263876,12.7518470776813,42.1284565741134,7.28425030370167,76.7480724881209,9.54202614903702,35.1301697688566,66.4243149718207,44.2232468653995,2.10528507876308,18.6344791542796,53.7868251783153,45.8978117525663,62.9363763990787,1.11215331845826,0.0665761685725686,0.37309952225178,0.00662040222587338,16.196751036878,24.1121555809993,35.2863245746347,17.5837348173017,159.926490518175,7.02981237432579,11.2991119576241,0.00738490406847167,21.6931724166208,7.33405646015815,23.3916774182722,87.473903668477,1.99187947702277,100.92815936873,516.561321215293,28.5766897425934,7.75426679734785,130.484043279735,8.86328303547683,148.460980392271,54.7179030084209,0.0248374816287506,132.595335577597,90.2957015887241,41.6609905387311,0.392050550942689,171.831687365209,1.29313583118594,71.0332860865556,23.0026801051179,135.784880075264,31.0538432498516,0.0782365472519057,29.548035518727,6.93823157481461,243.971295129512,14.457291970907,15.4817798571863,152.059598374419,134.905888944872,8.98322132524041,67.9041988226557,14.2846731671846,15.0519122189451,73.9099153881492,79.5611862787833,7.0302803009293,12.3458577787569,54.0849888140302,31.5642051209325,47.5680339533564,158.687066811863,5.98489648231898,37.6531847180503,205.311882014676,89.0979734955201,81.3741455616209,20.356710646499,112.367550506125,8.48240721405076,16.6564132607987,90.8474179072046,48.4868102830138,26.135431971814,36.4173922873455,62.374234183551,166.829044174617,3.42877093124149,0.691900835024986,0.0870188414245104,0.0433211547906927,14.3804174654442,34.3330458367297,142.193387550651,62.1269730117186,60.7309154301855,11.1324591663546,45.5792300734701,9.21225972514682,11.8434653999231,4.76408622484472,17.7908332647557,70.2824081404483,160.80825444565,28.9056770725277,2.3321471437097,176.605466453588,183.46229512831,208.103353845944,229.07258999496,129.349579482552,11.5072635111039,113.290095558727,42.0950442553563,160.14955202966,1.12555669687092,1.6420934468227,2.08488584736192,0.0792869152713796,17.4289078409997,135.779012230403,355.223975827008,253.434423174837,0.00391830254865349,10.9986579783043,37.8120752924264,14.4960017668972,0.434816151097468,13.0669959607555,2.33691393188436,42.8978526728156,2.84907668546089,13.6576454586923,41.665923477705,42.4012181737682,11.192170309043,9.98614325277459,25.7160876104733,22.2322945261978,32.2899392825076,43.9614116163477,6.52955088777186,0.479230689324902,29.708516655538,3.54521961941621,154.516023873487,0.786532746847945,184.743308434581,64.7454879124462,119.844080473122,76.0553745217304,0.213782788099186,9.60637198838747,2.70497245570917,14.1012727906532,7.26373268720513,6.24542835078824,10.5924646037104,108.901817622628,16.800750088945,21.204383062893,7.01166405450884,40.0100889306824,5.77804132675342,8.45946150404174,34.0688100182205,135.365425828702,1.91609642231973,129.87518519034,59.1664803152037,1.3986316464963,170.49834188604,11.260084830379,78.7637187054184,14.398213212941,11.4828523703586,41.2373857570324,0.00926562216731415,42.8931208569732,31.3571469703441,69.7671875656258,17.5893198825411,138.245489933067,126.022009943675,159.466028733769,27.7494719909886,52.5920385406407,47.2309229030395,25.7585942107852,2.94985155552369,130.288907302152,26.7119641655604,125.417956654145,16.4979348920066,0.0324602643328993,5.14475184698279,105.609493788356,18.3464868613478,163.713086304469,11.2391804906175,84.2020239907036,52.5808266377071,9.08929273106561,12.6213452599607,0.717470056367559,2.37759397897753,3.66209699990191,10.4574534139175,14.4199851221863,114.179024572609,49.8181870345819,21.0176238459282,43.2341836303765,25.4212505764312,8.27546114805024,4.42826122679397,50.2708366654881,12.2830371248444,127.7036497983,6.58582411288393,174.024610693635,126.089332999539,129.409465136965,64.0769064495639,27745.4163456492,8370.99506010833,1754.46462147753,22709.7715434777
"Y_1",0.0899271058100287,0.0346031466931324,21.9245767293242,9.50306676119895,0.0146717886592677,1.69758442121851,195.59576081592,28.7419844352051,9.31592679528129,5.18997856110734,38.7102811623963,11.7574468735292,2.71341154724719,68.9306119909837,226.43306667756,17.9382235903744,235.194184587512,19.1161713456553,1.36621914347752,35.8810401202909,1.03196698473254,200.585324011857,1.08488359437774,293.55069279411,186.759245411176,0.405654820793909,5.70406158848608,167.13887625943,0.0894836350656687,91.3545359221445,20.4419728062182,27.8707058618102,140.521745323975,246.184500362339,209.258782876008,11.880704713343,86.7357331572454,109.347201647098,57.587302866697,20.8103958254091,5.18560368481355,40.1181811577823,16.985862342819,37.7061451739485,0.203634258116637,2.86606574156802,0.805759367135955,5.96127799052264,134.787070711389,40.0309979339792,223.916468279325,1.58077789870092,42.7725780183644,133.219694519158,135.368453762612,4.51273320905273,0.070145799365114,13.6591818735318,0.121976737749873,14.7677339375366,0.588849097032385,14.8818398584291,56.1024373941735,9.20311078106869,86.4231143580121,14.397624564985,38.6483294727167,116.404334712409,57.8786226520859,4.1971480180424,15.3008706210537,37.2905404329793,65.0918433066777,90.7724610230702,2.79687702943813,0.065835932844675,0.516417374473916,0.0102268982176284,16.908368693786,46.619280698762,42.5505546395245,24.0344519370225,207.460350035807,10.9194771150952,10.6145176528852,0.0278151846253717,41.5848342561829,7.63465108411682,28.7115094295886,76.0259013592875,2.17593266431431,118.510595051536,875.564268218093,31.1581818369957,12.4142885344465,232.486286745096,7.79641519244597,239.309906065461,39.6571074318076,0.022457122185148,149.953819549458,181.817378981656,69.3268514807662,0.395570371441201,208.064421050386,3.63191920056647,53.7111508014643,17.3891773481665,154.124332395587,27.0761426899482,0.146363842920713,40.9271699949343,6.13395515709414,319.086967386726,20.6420261360816,18.0585362697742,145.744799805044,159.272191870764,12.8907989450699,64.2808844955851,13.4001995801243,16.4570764361629,84.9326894685624,93.1976787430175,9.84474272554551,10.9075937010905,55.0930934596609,31.1641140773408,44.0512686465484,191.317428822566,15.8958391987496,43.8959961692721,225.839368786162,105.754422520823,63.4129049133851,34.2008611014499,129.678394742928,13.883763929854,19.0509638527724,81.119440850554,39.62003113067,28.3781920299209,39.0295716474456,80.5465649255363,207.172338021637,6.89801304280542,0.703762714183532,0.122298676744964,0.0467839241727393,15.7953935112978,36.4056753529864,138.163158861392,68.5715786730194,71.1744089978228,12.2029502037791,41.1609283518939,12.4201331055685,11.2251491333619,6.20406250821028,21.0008716597454,81.6139713726425,136.850397505048,31.4297207844021,2.93777701258833,227.44196774901,189.544983156799,233.604585449465,237.021888370805,193.845133711588,14.1689893022416,94.3907439336189,50.0469826516346,208.164895741491,1.07997088997555,1.77306621169827,1.73914881816761,0.101056066292702,15.2960567972184,207.245975059363,547.080733037156,273.313026504903,0.00549952082369889,15.4797152603233,41.8409216923935,21.202804588701,0.563177181977789,11.3151191959244,2.66360999783416,45.2730231352004,2.98514346430334,15.9133878221894,42.1712645312836,59.5231695656837,11.6882891394974,9.37024698984116,33.43423879886,26.0024919387677,45.1899758504908,49.1117339031302,14.7326586373666,0.750151251366729,37.4114815425449,3.28617082042917,25.9414730933487,0.663496955322221,182.005667769902,60.6081172815843,137.24599576956,111.680104102909,0.344399799370217,14.0720079045612,2.57437172523162,24.6055248529245,9.19283106241078,10.7355432707252,14.7393609044201,114.501101734024,14.9824638276827,16.9597708747428,9.84282544405241,14.3234210901342,6.60321713832588,9.86838860289664,31.8153100680608,162.093413894607,1.63876498711557,167.270920308315,110.047995773654,1.89676873419765,269.065554208656,22.5966152210498,92.6966100843208,15.045952395797,21.0633239777318,40.4004529489394,0.0155423590367565,66.5414239480336,70.0125345840102,127.811711903234,39.3457609529164,216.621099610814,245.173427366399,255.997634184385,56.3440883164159,93.5664623320569,97.544422643434,26.7402121071862,2.47816252381444,175.439928921615,42.4938002278938,152.236587893479,40.0408160882437,0.0535549164251837,4.93700222561281,103.308257831214,19.7030604431478,181.963682506599,13.2372050161455,120.463996754966,80.3546697155566,11.9452148546185,22.2369091901217,0.770684538772092,4.60927363909469,5.12659727801919,15.7206589501592,22.5959760378712,144.381264738557,78.5284191686591,53.5807993195942,45.4963448019558,64.1276238976747,9.8083294580162,14.0266551768871,52.1169513795246,15.3461184200794,220.932097257072,9.25588721623445,271.334756337897,212.548511656015,168.442534247602,108.941524807729,33815.8277366773,10910.7238846672,2434.63976393845,21658.208453332
"Y_2",0.122988315214525,0.021411303571148,23.1024378264172,6.77833494098915,0.0114352162369313,0.878291455150937,205.230983126359,24.3995352513083,5.66283556588033,4.05842492147226,29.652790794787,13.0136402049219,3.40743747374961,74.4029187498701,179.904341074337,18.0990212745085,166.621453500982,18.550435849156,1.20365228870317,28.350206103622,1.18322211672138,185.334675173066,0.98897359228167,263.059429589688,139.808060696368,0.342891756177666,4.96809942069277,144.516060190742,0.0645351908224957,98.6153345141439,21.2417350433461,22.0561512382346,160.540675789079,165.44569525449,179.484781224765,6.85846601066379,95.4793091575986,119.765269945177,45.1498985279277,15.4896183989481,6.95329656618913,42.8778469824204,19.854604704678,49.5133136189148,0.261817374688682,3.20082954452902,1.11291283596714,6.12794277967599,86.2232858430499,33.1467391201094,201.344553253282,1.66775862377834,40.2333572722091,121.632828351367,132.932603527242,5.89927715671038,0.0396700060484731,12.8435322451847,0.150874934185435,15.0836857727214,0.362010343044803,22.6604689665193,58.4268815360407,7.1603666130739,84.4740398811214,12.7247641182725,46.2763854797176,96.2015512659855,62.0821311219661,3.12301081723482,15.7552095960512,52.0107433126939,50.4723420943704,88.0466757410386,1.93759723484744,0.0528568627911101,0.529701589212477,0.00700904816572788,19.0939214571088,43.9772154538506,40.2811599304079,20.3566116590283,176.537377628632,8.5397858101984,12.0330503972571,0.0130126172622116,25.8948296146373,7.59383483258478,31.5006985954118,90.4591646822357,1.79060844498632,117.494817413424,719.092072488021,35.3854489781033,9.21591048924699,208.605581522822,9.91757201886205,174.147953516435,46.5686739268724,0.0338502346215488,152.754003562595,127.525784252627,49.8277455260871,0.352638242622802,174.036926398924,3.54124769764664,56.2581492639848,18.2980448675565,146.121624033872,26.004587332983,0.126442737686701,28.7064230266053,5.27486937522044,267.792940348242,15.9153596817106,17.5259288918379,173.259978701679,129.907391831509,10.4993649115815,67.6425579443386,14.0381368746442,15.9672715013611,76.0743946622474,84.1554891280697,6.68130574844339,11.5830200098372,60.6933769662019,28.4056038708679,46.4415061873023,184.269888710256,12.917557407588,50.3925444972743,214.433986296427,91.8450039681456,79.7375464136851,27.6295692667033,112.509759117412,11.5382097679903,17.3849761940378,92.3279046874299,43.0536278102143,27.019131845184,43.4625343909268,75.9289522101054,185.493315715506,5.13335035195069,0.597999523097429,0.0746912728786345,0.0508354963054335,15.4820256158572,32.4954433274492,141.800401802888,62.9566155801716,53.3375637374917,9.74012023408618,47.6421828239476,9.83601829373653,11.1889446837222,5.14686920597356,17.6726535084354,71.0045073154774,133.440172990925,29.0885645470245,2.75910937437917,188.955186265235,178.601778165366,211.376053839395,227.228190445723,136.581514082707,11.9463589365673,82.6501493421137,44.170095228867,145.234953628758,1.47820625251706,2.0796756506448,2.20364861790867,0.106110003909702,17.5419762529068,154.499387604203,374.765269633974,258.454050318757,0.00413224494995581,15.6391983316094,42.0118351979682,15.8067260481651,0.513429461295951,13.437373495568,2.75430588689713,40.6660079565182,2.58470444396206,15.3551280866223,43.690348218038,46.386379622977,12.0112531974156,10.3234137724858,35.3091115550572,22.8264585431989,34.7406062241284,45.2274837817593,9.46247346844267,0.775706179432008,34.5550773177902,3.07043629601887,85.1226685286793,0.698393135453239,157.925923997578,65.7640745134766,113.054737406236,84.7328482603496,0.236500550065182,10.2407485143465,2.59030635828859,16.7355029193822,9.64265012272135,6.17271711787372,13.0043977627266,109.200838094461,14.9267481168566,19.58317409182,7.63972901277706,24.9627805132946,5.3435202474004,9.4492871671249,37.1025833535935,165.811399706633,2.06170542079753,162.137507050801,75.1032221342531,1.65306757228588,219.549788106256,14.1799892613587,83.161617887616,13.8753511872661,12.8619694560561,39.3895398817999,0.0129644110603572,52.6893795138434,50.4729129136909,98.5120606584282,26.3174225322056,160.48061529691,160.170992520698,190.36820143553,40.6402733301494,80.1077155116093,73.1924974437464,24.920630761037,2.52588254794912,144.908740592092,36.2512885955223,138.274189873151,23.3093121881454,0.0442170365761555,6.31106945607206,115.187245968087,19.3703288327517,176.639384194127,11.077722182472,110.156179235586,55.6825327911608,9.83701503212915,14.5515044543479,0.866916700794616,2.81678848371954,3.9497048584462,13.898432449036,18.5634028773679,130.332611411946,65.8414898568592,37.2296535391264,48.0398107163643,41.9786404076061,8.21473953605968,9.31768135001557,58.377369270082,14.0338915748417,163.227722937125,8.15551496820331,226.233371424769,147.138902870788,150.081344188524,80.9451470351781,30340.5169704323,9447.69866411776,1885.68022581381,22372.314507254
